연번, 구분,대여소ID,대여소번호,대여소명,거치대수,위도,경도
1,강남구,ST-799,2315,2315. 봉은사역 5번출구 옆,10,37.514248,127.061119
2,강남구,ST-1174,2365,2365. K+ 타워 앞,15,37.5233,127.038475
3,강남구,ST-796,2313,2313. 금원빌딩 앞,10,37.525116,127.052467
4,강남구,ST-961,2347,2347. 두산건설 본사,15,37.518639,127.0354
5,강남구,ST-1171,2362,2362. 신사동 가로수길 입구,10,37.517635,127.022453
6,강남구,ST-793,2308,2308. 압구정파출소 앞,14,37.529301,127.035599
7,강남구,ST-959,2349,2349. 역삼빌딩 앞(하나은행 옆),10,37.501545,127.038567
8,강남구,ST-822,2341,2341. 일원역 4~5번 출구 사이,10,37.483311,127.084938
9,강남구,ST-790,2305,2305. MCM 본사 직영점 앞,10,37.520641,127.034508
10,강남구,ST-956,2360,2360. 도곡1동 주민센터 교차로,15,37.492809,127.041389
11,강남구,ST-1433,2388,2388. 강남구 도시관리공단,10,37.516785,127.051613
12,강남구,ST-787,2302,2302. 교보타워 버스정류장(신논현역 3번출구 후면),10,37.505581,127.024277
13,강남구,ST-1365,2385,2385. 학동역,10,37.51395,127.030151
14,강남구,ST-953,2354,2354. 청담역 2번출구,5,37.519787,127.056763
15,강남구,ST-817,2334,2334. 8.삼호@ 2동 ( 간선도로),15,37.493759,127.045898
16,강남구,ST-1578,2408,2408. 강남한양수자인아파트,14,37.477341,127.113274
17,강남구,ST-783,2309,2309. 청담역(우리들병원 앞),10,37.518902,127.049385
18,강남구,ST-814,2331,2331. 동영문화센터앞,20,37.498051,127.044601
19,강남구,ST-1575,2405,2405. 청담공원앞 교차로,20,37.518711,127.05085
20,강남구,ST-811,2328,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,10,37.503586,127.042641
21,강남구,ST-1571,2401,2401. 밀알학교 입구 (삼성서울병원 입구),15,37.486561,127.082672
22,강남구,ST-778,2343,2343. 세곡사거리 대왕파출소 앞,10,37.465317,127.107727
23,강남구,ST-809,2326,2326. 대치동 삼성로,10,37.502396,127.0588
24,강남구,ST-806,2323,2323. 주식회사 오뚜기 정문 앞,10,37.502213,127.067207
25,강남구,ST-1184,2375,2375. 수서역 1번출구 앞,10,37.48735,127.100998
26,강남구,ST-1565,2395,2395. 개포1단지아파트 입구 (보도육교),10,37.47929,127.055733
27,강남구,ST-803,2320,2320. 도곡역 대치지구대 방향,10,37.491928,127.056969
28,강남구,ST-1180,2371,2371. 한국우편사업진흥원,10,37.514748,127.035133
29,강남구,ST-1562,2392,2392. 구룡산 입구 (구룡산 서울둘레길 입구),15,37.474579,127.05545
30,강남구,ST-1246,2381,2381. 언주역 6번출구앞,8,37.506367,127.034523
31,강남구,ST-966,2357,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),15,37.501949,127.04277
32,강남구,ST-1178,2369,2369. KT선릉타워,20,37.505428,127.052872
33,강남구,ST-798,2314,2314. 청담나들목입구,10,37.521275,127.061035
34,강남구,ST-963,2353,2353. 강남구청역 2번출구 뒤,10,37.516811,127.040474
35,강남구,ST-1173,2364,2364. 도산대로 렉서스 앞,10,37.52124,127.031898
36,강남구,ST-795,2312,2312. 청담역 13번 출구 앞,10,37.52058,127.056328
37,강남구,ST-960,2350,2350. 래미안그레이튼102동앞,10,37.494823,127.047905
38,강남구,ST-1170,2361,2361. 압구정역 교차로,10,37.526844,127.028259
39,강남구,ST-1407,2387,2387. 래미안강남힐즈 사거리,10,37.472454,127.096077
40,강남구,ST-792,2307,2307. 압구정 한양 3차 아파트,10,37.528614,127.038559
41,강남구,ST-958,2359,"2359. 국립국악중,고교 정문 맞은편",10,37.475605,127.050377
42,강남구,ST-821,2340,2340. 삼호물산버스정류장(23370) 옆,15,37.477509,127.045174
43,강남구,ST-789,2304,2304. 신영 ROYAL PALACE 앞,10,37.512527,127.035835
44,강남구,ST-955,2355,2355. 삼성역 5~6번 출구 사이,20,37.509121,127.062309
45,강남구,ST-819,2336,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,10,37.494236,127.047462
46,강남구,ST-786,2311,2311. 학동로 래미안 아파트 앞,10,37.517773,127.043022
47,강남구,ST-1364,2384,2384. 자곡사거리,10,37.476028,127.105942
48,강남구,ST-816,2333,2333. 양재역 3번출구 주변,15,37.485157,127.034073
49,강남구,ST-1577,2407,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),10,37.49847,127.030113
50,강남구,ST-782,2337,2337. 대모산입구역 2번출구 앞,15,37.492077,127.071976
51,강남구,ST-813,2330,2330. 스타벅스 앞,10,37.492199,127.039459
52,강남구,ST-1574,2404,2404. 대모산입구역 4번 출구 앞,10,37.49181,127.073158
53,강남구,ST-810,2327,2327. 뱅뱅사거리 랜드마크타워 앞,15,37.490551,127.031464
54,강남구,ST-777,2301,2301. 현대고등학교 건너편,10,37.524071,127.02179
55,강남구,ST-808,2325,2325. 대치동 버거킹대치점,10,37.49865,127.059319
56,강남구,ST-1186,2377,2377. 수서역 5번출구 뒤,10,37.486835,127.102753
57,강남구,ST-805,2322,2322. 삼성역 3번 출구,15,37.508091,127.063103
58,강남구,ST-1182,2373,2373. 개포동역 사거리,20,37.489277,127.065575
59,강남구,ST-1564,2394,2394. 래미안강남포레스트 입구 (보도육교),10,37.479092,127.055397
60,강남구,ST-937,2351,2351. 청소년수련관(수영장)앞,15,37.483879,127.089027
61,강남구,ST-802,2319,2319. 포스코4거리 서측(수협 삼성동 지점),10,37.506607,127.05468
62,강남구,ST-1248,2383,2383. 보금자리정원,10,37.466328,127.094887
63,강남구,ST-1561,2391,2391. 구룡마을 입구(개포1단지아파트),10,37.479328,127.064278
64,강남구,ST-1245,2380,2380. 삼성동베이직하우스앞,15,37.511696,127.049347
65,강남구,ST-1177,2368,2368. 도곡동 경남아파트 건너편,10,37.489342,127.041298
66,강남구,ST-1559,2389,2389. 경기여자고등학교 후문 (삼성로3길 입구),15,37.48616,127.067238
67,강남구,ST-797,2348,2348. 포스코사거리(기업은행),20,37.507233,127.056854
68,강남구,ST-962,2352,2352. 서울본부세관(건설회관 앞),10,37.51759,127.035027
69,강남구,ST-1172,2363,2363. 강남 을지병원 교차로,15,37.51918,127.027466
70,강남구,ST-794,2310,2310. 청담동 맥도날드 옆(위치),10,37.523613,127.040176
71,강남구,ST-823,2342,2342. 대청역 1번출구  뒤,10,37.494007,127.079514
72,강남구,ST-791,2306,2306. 압구정역 2번 출구 옆,30,37.527122,127.028717
73,강남구,ST-957,2358,2358. 구룡초사거리 (현대아파트10동 앞 ),10,37.481384,127.053917
74,강남구,ST-820,2339,2339. 현대아파트 정문 앞,10,37.483261,127.052299
75,강남구,ST-788,2303,2303. 논현역 7번출구,15,37.511517,127.021477
76,강남구,ST-1366,2386,2386. sk 동우주유소 앞,10,37.509586,127.040909
77,강남구,ST-954,2356,2356. 강남구청,10,37.51807,127.047119
78,강남구,ST-818,2335,2335. 3호선 매봉역 3번출구앞,10,37.486767,127.046761
79,강남구,ST-784,2317,2317. 삼성도로공원,10,37.515888,127.0662
80,강남구,ST-815,2332,2332. 선릉역3번출구,8,37.504208,127.048965
81,강남구,ST-1576,2406,2406. 논현동 광명빌딩 앞,10,37.51757,127.023643
82,강남구,ST-812,2329,2329. 르네상스호텔사거리 역삼지하보도 2번출구,10,37.502357,127.04319
83,강남구,ST-1573,2403,2403. 공무원연금매점 교차로 (개포주공9단지 입구),15,37.48872,127.074539
84,강남구,ST-779,2344,2344. 리엔파크 2단지 앞,10,37.465061,127.101196
85,강남구,ST-807,2324,2324. 천주교 대치 2동 교회 옆,10,37.500439,127.066223
86,강남구,ST-1185,2376,2376. 수서역 6번출구 앞,20,37.486778,127.100517
87,강남구,ST-1568,2398,2398. 더라움,10,37.50811,127.039452
88,강남구,ST-804,2321,2321. 학여울역 사거리,10,37.496117,127.069443
89,강남구,ST-1181,2372,2372. 대치역 사거리,10,37.494499,127.063797
90,강남구,ST-1563,2393,2393. 구룡사 앞 교차로 (보도육교),10,37.472,127.051338
91,강남구,ST-801,2318,2318. 삼성중앙역4번출구(문화센터더 리빌),15,37.513577,127.055031
92,강남구,ST-1247,2382,2382. 역삼동 sk뷰 501동앞,11,37.501343,127.050468
93,강남구,ST-1179,2370,2370. 한티역 3번출구,20,37.496552,127.054298
94,강남구,ST-1560,2390,2390. 구룡마을 입구 (래미안블레스티지 아파트),10,37.479568,127.064774
95,강동구,ST-501,1017,1017. 맥도날드(길동),20,37.535473,127.145172
96,강동구,ST-1595,1054,1054. 말우물 어린이 공원,10,37.560009,127.169579
97,강동구,ST-1626,1059,1059. 레미안 강동팰리스(102동),15,37.538181,127.131752
98,강동구,ST-497,1013,1013. 강동구청역 1번 출입구,15,37.530773,127.120926
99,강동구,ST-1371,1049,1049. 강일동 10단지 아파트,10,37.56118,127.180267
100,강동구,ST-1622,1062,1062. 고덕숲 아이파크 2,15,37.551079,127.162621
101,강동구,ST-494,1010,1010. 강동세무서,20,37.534481,127.138344
102,강동구,ST-1057,1040,1040. 강일동 에너지 마루,10,37.5672,127.16346
103,강동구,ST-1369,1047,1047. 건강보험 강동지사kt,10,37.536381,127.137253
104,강동구,ST-491,1007,1007.암사동 선사유적지,16,37.559063,127.130646
105,강동구,ST-1054,1037,1037. 강일 6단지,10,37.562588,127.177612
106,강동구,ST-487,1003,1003. 해공도서관앞,20,37.543915,127.125458
107,강동구,ST-1051,1034,1034. 고덕동 래미안 힐스테이트,15,37.561909,127.150749
108,강동구,ST-1049,1032,1032. 선사고등학교,20,37.556728,127.136208
109,강동구,ST-1046,1029,1029. 롯데 시네마,10,37.536541,127.125397
110,강동구,ST-1043,1026,1026. 대명초교 입구 교차로,14,37.546631,127.155884
111,강동구,ST-1420,1050,1050.  둔촌역 3번 출입구,15,37.526695,127.135529
112,강동구,ST-1040,1023,1023. 한국종합기술사옥 앞,15,37.549999,127.17469
113,강동구,ST-830,1018,1018. 둔촌 주공 GS 맞은편,20,37.524681,127.135406
114,강동구,ST-503,1020,1020. 강동경찰서,15,37.52829,127.126801
115,강동구,ST-1598,1057,1057. 능골근린공원,15,37.55579,127.173813
116,강동구,ST-500,1016,1016. 해뜨는 주유소옆 리엔파크 109동앞,10,37.559399,127.171158
117,강동구,ST-1594,1053,1053. 동명근린공원 진입로 (아리수로),8,37.562538,127.164528
118,강동구,ST-499,1015,1015. 샛마을 근린공원,13,37.550079,127.146912
119,강동구,ST-496,1012,1012. 서울 상운차량,15,37.536026,127.122726
120,강동구,ST-1059,1042,1042. 강일 2.5단지 사이,10,37.568562,127.177002
121,강동구,ST-1370,1048,1048. 동부기업(둔촌동),10,37.531013,127.142365
122,강동구,ST-1621,1061,1061. 천호초교 입구 사거리(일주빌딩),10,37.546928,127.134621
123,강동구,ST-493,1009,1009. 천호역4번출구(현대백화점),20,37.538658,127.124214
124,강동구,ST-1056,1039,1039. 고덕초등학교,7,37.561279,127.167801
125,강동구,ST-490,1006,1006. 롯데캐슬 115동앞,15,37.55492,127.142799
126,강동구,ST-1053,1036,1036. 고덕동 주양쇼핑,10,37.551998,127.153297
127,강동구,ST-486,1002,1002. 해공공원(천호동),10,37.545219,127.125916
128,강동구,ST-1050,1033,1033. 고덕동 아남아파트,10,37.557991,127.144707
129,강동구,ST-1048,1031,1031. 암사동 CBIS,15,37.555851,127.129898
130,강동구,ST-1045,1028,1028. 포레스 주상복합 빌딩,10,37.5331,127.12278
131,강동구,ST-1042,1025,1025. 상일초등학교,10,37.546841,127.172516
132,강동구,ST-505,1022,1022. 길동 사거리(초소앞),20,37.533764,127.138031
133,강동구,ST-502,1019,1019. 다성이즈빌아파트(호원대 대각선 맞은편),10,37.526825,127.130028
134,강동구,ST-1597,1056,1056. 강일리엔파크 7~11단지,10,37.563332,127.179092
135,강동구,ST-1593,1052,1052. 리싸이클시티,10,37.556469,127.156822
136,강동구,ST-498,1014,1014. 강동구평생학습관앞,15,37.5508,127.142624
137,강동구,ST-1061,1044,1044. 굽은다리역,15,37.545399,127.142601
138,강동구,ST-1623,1058,1058. 고덕숲 아이파크 1,12,37.553471,127.165001
139,강동구,ST-495,1011,1011. LIGA 아파트 앞,20,37.534771,127.135239
140,강동구,ST-1058,1041,1041. 묘곡초등학교,10,37.559196,127.153297
141,강동구,ST-1620,1060,1060. 천일초교 사거리,8,37.544659,127.132637
142,강동구,ST-492,1008,1008. 암사역 3번출구(국민은행앞),10,37.549549,127.127151
143,강동구,ST-1055,1038,1038. 강일 다솜 어린이 공원,10,37.568668,127.174797
144,강동구,ST-488,1004,1004. 삼성광나루아파트 버스정류장,10,37.553349,127.12886
145,강동구,ST-1052,1035,1035. 고덕역 4번출구,20,37.555016,127.155273
146,강동구,ST-485,1001,1001. 광진교 남단 사거리(디지털프라자앞),15,37.541805,127.124718
147,강동구,ST-1047,1030,1030. 미호 플랜트 앞,15,37.527061,127.12207
148,강동구,ST-1044,1027,1027. 프라자 아파트 앞,20,37.535999,127.147697
149,강동구,ST-1421,1051,1051. 양지시장 (용성약국앞) 입구,15,37.554829,127.137321
150,강동구,ST-1041,1024,1024.  강동구청 앞,10,37.529251,127.123108
151,강동구,ST-504,1021,1021. 강일동 리슈빌 빌딩앞,15,37.564301,127.17395
152,강북구,ST-1104,1530,1530. 광산사거리,10,37.643551,127.022346
153,강북구,ST-864,1522,1522. 월드전기조명인테리어(우이동),10,37.654472,127.012756
154,강북구,ST-1101,1527,1527. 미아역 1번 출구 뒤,10,37.627335,127.026054
155,강북구,ST-861,1511,1511. 번동 금호어울림아파트102동앞,9,37.631123,127.036034
156,강북구,ST-859,1509,1509. 서울북부수도사업소,10,37.634377,127.035751
157,강북구,ST-652,1516,1516. 우이초등학교 후문 옆,10,37.638706,127.015907
158,강북구,ST-1614,1545,1545. 솔샘역 2번 출구,10,37.62038,127.01368
159,강북구,ST-948,1501,"1501. 미아역 3번,4번 출구 사이",9,37.62608,127.026482
160,강북구,ST-1392,1542,1542. 삼양사거리역,10,37.621552,127.02037
161,강북구,ST-1423,1543,1543. 수유1동 주민센터,10,37.630188,127.017738
162,강북구,ST-646,1514,1514. 강북구청 사거리 버스정류소 앞,10,37.638805,127.028358
163,강북구,ST-1389,1539,1539. 4.19민주묘지역,10,37.649673,127.013451
164,강북구,ST-643,1503,1503. 이디야 커피 수유역점 앞,12,37.639278,127.026756
165,강북구,ST-1109,1535,1535. 효성인텔리안 앞,10,37.636292,127.023376
166,강북구,ST-1106,1532,1532. 번3동 주민센터 교차로,10,37.626354,127.047447
167,강북구,ST-1103,1529,1529. 미아동 한국전력공사,15,37.63018,127.02491
168,강북구,ST-863,1513,1513. 강북구청 뒷편,20,37.639671,127.0252
169,강북구,ST-1100,1526,1526. 수유동 채선당앞,8,37.641739,127.024628
170,강북구,ST-860,1510,1510. 번동주공5단지 관리사무소 앞,10,37.633717,127.035515
171,강북구,ST-651,1519,1519. 세븐일레븐 수유장미원점 앞,10,37.645451,127.015617
172,강북구,ST-648,1515,1515. 송천동 주민센터,10,37.618286,127.024048
173,강북구,ST-1391,1541,1541. 삼양역,10,37.62653,127.018059
174,강북구,ST-645,1506,1506. 강북문화예술회관,20,37.640327,127.013359
175,강북구,ST-1388,1538,1538. 솔밭공원역,8,37.656158,127.013138
176,강북구,ST-1110,1536,1536. 번동 두산위브 101동 옆,20,37.636261,127.032173
177,강북구,ST-1665,1546,1546. 송천동우체국,10,37.615459,127.029701
178,강북구,ST-1108,1534,1534. 북서울 꿈의 숲 동문,20,37.619637,127.044533
179,강북구,ST-1105,1531,1531. 미아사거리 1번 출구,10,37.613956,127.030251
180,강북구,ST-1102,1528,1528. 삼각산동 주민센터,10,37.615036,127.020699
181,강북구,ST-862,1512,1512. 강북중학교 앞,20,37.644737,127.026566
182,강북구,ST-654,1518,1518. SK telecom(수유직영점) 앞,10,37.643085,127.016167
183,강북구,ST-650,1520,1520. 성실교회,10,37.639862,127.022789
184,강북구,ST-647,1525,1525. 미아동 복합청사,10,37.62714,127.026695
185,강북구,ST-1390,1540,1540. 가오리역,10,37.64167,127.016884
186,강북구,ST-644,1504,1504. 다이소 삼양시장점,10,37.624157,127.018623
187,강북구,ST-1387,1537,1537. 북한산 우이역,10,37.663666,127.012428
188,강북구,ST-1107,1533,"1533. 번동 주공3, 4단지 교차로",10,37.629917,127.040916
189,강서구,ST-1519,1182,1182. KBS 스포츠월드,20,37.556877,126.848808
190,강서구,ST-1067,1155,1155. 기쁜우리복지관,10,37.56926,126.848419
191,강서구,ST-532,1137,1137. 등촌2동주민센터,10,37.541431,126.86322
192,강서구,ST-828,1110,1110. 공항중학교앞,10,37.562683,126.816238
193,강서구,ST-1515,1178,1178. 개화산역 2번 출구,10,37.572472,126.806168
194,강서구,ST-1063,1151,1151. 마곡역1번출구,25,37.560234,126.823471
195,강서구,ST-537,1146,1146. 곰달래사거리,10,37.530338,126.838257
196,강서구,ST-1511,1174,1174. 강서구청사거리(부민병원),9,37.556599,126.851471
197,강서구,ST-526,1130,1130. 화곡본동시장 버스정류장,7,37.542751,126.842621
198,강서구,ST-1509,1172,1172. 가양3동 주민센터,8,37.561249,126.86058
199,강서구,ST-1715,1198,1198. LG 사이언스파크,20,37.56255,126.827438
200,강서구,ST-523,1126,1126. 우장산역 1번출구옆(우장산아이파크105동앞),7,37.548908,126.836563
201,강서구,ST-1402,1168,1168. 마곡엠밸리10단지 앞,10,37.560226,126.819069
202,강서구,ST-1506,1169,1169. 염창역 1번 출구,8,37.547199,126.874489
203,강서구,ST-1712,1195,1195. 코오롱one&only타워,20,37.564129,126.834312
204,강서구,ST-1647,1186,1186. 송정중학교,10,37.554729,126.816093
205,강서구,ST-1709,1190,1190. 마곡역 교차로(2번출구),10,37.560501,126.826653
206,강서구,ST-517,1119,1119. 염창동 한마음아파트앞(염창동 빛나는 음악학원앞),6,37.554253,126.867561
207,강서구,ST-514,1113,1113. 서남환경공원 버스정류장,15,37.573093,126.822899
208,강서구,ST-511,1109,1109. 공항시장역 4번출구,6,37.563347,126.810486
209,강서구,ST-1254,1163,1163. 방화동강서기동대앞,10,37.570499,126.820084
210,강서구,ST-975,1149,1149. 신방화역환승주차장,13,37.567284,126.818275
211,강서구,ST-1351,1166,1166. 강서구립등빛도서관,10,37.562569,126.842461
212,강서구,ST-509,1105,1105. 방화근린공원,10,37.581623,126.812653
213,강서구,ST-1251,1160,1160. 양천향교역 7번출구앞,20,37.56768,126.840897
214,강서구,ST-834,1117,1117. 스타벅스앞,10,37.558197,126.844261
215,강서구,ST-1249,1158,1158. 가양역 8번출구,20,37.561035,126.854813
216,강서구,ST-534,1140,1140. 목동사거리 버스정류장,15,37.531399,126.863609
217,강서구,ST-1518,1181,1181. 농수산식품공사 (강서지사),10,37.551044,126.818497
218,강서구,ST-1065,1153,1153. 발산역 2번출구,10,37.55891,126.838097
219,강서구,ST-531,1136,1136. 등촌2파출소,10,37.544788,126.862
220,강서구,ST-1514,1177,1177. 수명중?고교,10,37.55011,126.823677
221,강서구,ST-1062,1150,1150. 송정역 1번출구,10,37.56155,126.810478
222,강서구,ST-528,1132,1132. 등촌역 7번출구,10,37.551109,126.863708
223,강서구,ST-824,1106,1106. 신방화사거리,10,37.573032,126.816452
224,강서구,ST-1510,1173,1173. 강서구청사거리(SH타워),15,37.556259,126.853317
225,강서구,ST-525,1129,1129. 화곡역 1번 출구 앞,7,37.542099,126.840218
226,강서구,ST-1508,1171,1171. 염창동 새마을금고 건너편 (모닝글로리),8,37.550049,126.873161
227,강서구,ST-1714,1197,1197. 엘펠리체 호텔 건너편,20,37.560429,126.835403
228,강서구,ST-522,1124,1124. 발산역 6번출구옆(다이소앞),10,37.557968,126.838287
229,강서구,ST-1711,1194,1194. 센서택㈜,10,37.563301,126.836823
230,강서구,ST-519,1121,1121. 가양레포츠센터앞,15,37.559479,126.86438
231,강서구,ST-1708,1188,1188. 롯데중앙연구소,8,37.571381,126.828339
232,강서구,ST-516,1118,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),10,37.557461,126.861458
233,강서구,ST-1646,1185,1185. 등촌9단지,10,37.562901,126.849472
234,강서구,ST-513,1112,1112. 마곡엠밸리4단지 정문,15,37.568577,126.824776
235,강서구,ST-510,1108,1108. 공항시장역 1번출구,8,37.56356,126.81015
236,강서구,ST-1253,1162,1162. 공항초등학교건너편,10,37.562679,126.820473
237,강서구,ST-508,1102,1102. 방화사거리 마을버스 버스정류장,10,37.573643,126.811806
238,강서구,ST-1250,1159,1159. 서서울모터리움앞,20,37.565853,126.846596
239,강서구,ST-833,1115,1115. 등촌역 1번출구옆,10,37.551666,126.86409
240,강서구,ST-536,1145,1145. 곰달래 문화복지센터 1-2,10,37.528919,126.848083
241,강서구,ST-1069,1157,1157. 강서구청,8,37.550659,126.84977
242,강서구,ST-533,1139,1139. 용문사 버스정류장,8,37.536991,126.863365
243,강서구,ST-1517,1180,1180. 마곡엠밸리 15단지(1502동) 건너편,15,37.557468,126.82972
244,강서구,ST-1064,1152,1152. 마곡역교차로,10,37.558666,126.826614
245,강서구,ST-530,1135,1135. 강서구의회,10,37.546532,126.862549
246,강서구,ST-538,1148,1148. 볏골공원,10,37.54147,126.84478
247,강서구,ST-1338,1165,1165. 마곡중학교 후문,20,37.568447,126.821648
248,강서구,ST-1512,1175,1175. 대한항공 인력개발센터,15,37.554379,126.857536
249,강서구,ST-527,1131,1131. 꿈돌이공원 앞,8,37.546444,126.845459
250,강서구,ST-524,1127,1127. 화곡역(에이스정형외과앞) 버스정류장,10,37.540981,126.838547
251,강서구,ST-1507,1170,1170. 강서구보건소 (삼성디지털 프라자),11,37.549179,126.868797
252,강서구,ST-1713,1196,1196. 서울식물원(문화센터) 건너편,15,37.568241,126.835831
253,강서구,ST-520,1122,1122. 황금내근린공원,10,37.561932,126.863869
254,강서구,ST-518,1120,1120. 대림경동아파트앞,10,37.565189,126.853996
255,강서구,ST-515,1114,1114. 서남물재생센터 버스정류장,15,37.572781,126.826279
256,강서구,ST-1645,1184,1184. 마곡13단지,15,37.55645,126.815979
257,강서구,ST-512,1111,1111. 마곡엠밸리6_7단지 마곡중학교,15,37.566982,126.8218
258,강서구,ST-1352,1167,1167. 마곡수명산파크3단지 교차로,15,37.553467,126.825928
259,강서구,ST-1689,1191,1191. 마곡역 교차로(NH농협),9,37.560242,126.827164
260,강서구,ST-1252,1161,1161. 강서면허시험장앞,10,37.549694,126.819664
261,강서구,ST-835,1125,1125. 명덕고교입구(영종빌딩),10,37.552914,126.836571
262,강서구,ST-507,1101,1101. 개화동상사마을종점 버스정류장,10,37.581612,126.798599
263,강서구,ST-831,1103,1103. 방화역 4번출구앞,10,37.577221,126.812195
264,강서구,ST-535,1141,1141. 곰달래 문화복지센터 1-1,10,37.52906,126.84848
265,관악구,ST-703,2103,2103. 신림동 우방아파트,10,37.489178,126.919273
266,관악구,ST-1337,2171,2171. 서울대입구역 5번출구,17,37.481548,126.952003
267,관악구,ST-1270,2175,2175. 신림동걷고싶은문화의거리입구,10,37.487301,126.928703
268,관악구,ST-1547,2178,2178. 서울대학교 정문,15,37.46682,126.948807
269,관악구,ST-1268,2173,2173. 당곡사거리,10,37.48975,126.927467
270,관악구,ST-724,2140,2140. 신림1교 교차로,12,37.478428,126.931862
271,관악구,ST-887,2148,2148. 낙성대역 3번출구 뒤,10,37.477028,126.963394
272,관악구,ST-721,2129,2129. 낙성대 과학전시관,10,37.469055,126.958145
273,관악구,ST-950,2110,2110. 조원동 미성아파트,9,37.483192,126.902031
274,관악구,ST-884,2119,2119. 중앙동 동진빌딩,10,37.484257,126.954697
275,관악구,ST-1265,2170,2170. 조원동서울본병원,10,37.481529,126.912033
276,관악구,ST-1357,2176,2176. 보라매공원 보도육교,15,37.488991,126.916382
277,관악구,ST-719,2122,2122. 낙성대로 입구,20,37.478058,126.960495
278,관악구,ST-1157,2160,2160. 관악구 보건소,15,37.478626,126.951294
279,관악구,ST-1260,2165,2165. JK장평타워,10,37.476482,126.965363
280,관악구,ST-714,2108,2108. 은천치안센터,20,37.483341,126.943199
281,관악구,ST-711,2157,2157. 난곡 사거리,10,37.4818,126.915237
282,관악구,ST-709,2144,2144. 난우길입구,15,37.477776,126.916756
283,관악구,ST-705,2106,2106. 난곡 새마을금고,12,37.473728,126.918404
284,관악구,ST-702,2102,2102. 봉림교 교통섬,20,37.48423,126.926392
