연번, 구분,대여소ID,대여소번호,대여소명,거치대수,위도,경도
285,관악구,ST-1549,2180,2180. 신림동주민센터,10,37.487511,126.927788
286,관악구,ST-1546,2177,2177. 신대방역 2번 출구,19,37.487129,126.913017
287,관악구,ST-1267,2172,2172. 나들목공원,20,37.469406,126.944511
288,관악구,ST-723,2137,2137. KT&G 관악지점,10,37.484901,126.936531
289,관악구,ST-952,2156,2156. 농협 관악문성지점,12,37.480721,126.909325
290,관악구,ST-886,2143,2143. 서울산업정보학교,10,37.470695,126.9422
291,관악구,ST-720,2128,2128. 관악구청교차로,12,37.479164,126.952583
292,관악구,ST-883,2115,2115. 관악농협농산물백화점,15,37.479916,126.90284
293,관악구,ST-1264,2169,2169. 봉천역 2번출구,7,37.482189,126.942131
294,관악구,ST-717,2116,2116. 에이스에이존빌딩,9,37.481705,126.950829
295,관악구,ST-1156,2159,2159. 인헌초교,10,37.47509,126.959229
296,관악구,ST-713,2107,2107. 도림천 신화교,25,37.475471,126.936455
297,관악구,ST-710,2153,2153. 서울남부초등학교 옆,10,37.485142,126.920563
298,관악구,ST-708,2135,2135. 신림역 5번출구,9,37.484409,126.928909
299,관악구,ST-704,2105,2105. 미성동 신림체육센터,12,37.480251,126.914604
300,관악구,ST-934,2113,2113. 관악동작견인차량보관소,10,37.484661,126.9039
301,관악구,ST-965,2111,2111. 서울대입구역 1번출구,10,37.480869,126.953316
302,관악구,ST-1548,2179,2179. 양녕로 입구,10,37.482189,126.946159
303,관악구,ST-1269,2174,2174. 삼성디지털프라자관악점,10,37.488564,126.928482
304,관악구,ST-725,2145,2145. 은천초등학교 육교,12,37.486359,126.942924
305,관악구,ST-722,2130,2130. 영어마을 관악캠프,15,37.47197,126.958763
306,관악구,ST-951,2139,2139. 서울신성초등학교,10,37.471165,126.937019
307,관악구,ST-885,2141,2141. 미림여고입구 교차로,12,37.472294,126.933411
308,관악구,ST-1702,2184,2184. 구암초등학교 버스정류장,10,37.489491,126.945923
309,관악구,ST-882,2109,2109. 은천로입구 가로공원,15,37.486225,126.935829
310,관악구,ST-1262,2167,2167. 낙성대역 1번출구,12,37.476295,126.964958
311,관악구,ST-715,2112,2112. 서울대입구역 마에스트로,15,37.481339,126.950645
312,관악구,ST-1259,2164,2164. 관악우체국,8,37.484768,126.932877
313,관악구,ST-976,2136,2136. 신림역 8번출구,10,37.484577,126.929916
314,관악구,ST-712,2104,2104. 사당역 5번출구,13,37.476089,126.981331
315,관악구,ST-707,2127,2127. 보성운수차고지 맞은편,10,37.464886,126.919479
316,광진구,ST-1661,3534,3534. 건대입구역 5번출구 뒤,10,37.540138,127.069283
317,광진구,ST-1378,3520,3520. 광진경찰서,10,37.542519,127.084084
318,광진구,ST-987,3504,3504. 원일교회,8,37.538052,127.076599
319,광진구,ST-387,576,576. 광나루역 3번 출구,10,37.54483,127.104263
320,광진구,ST-984,3501,3501. 광진구청 앞,10,37.539501,127.083
321,광진구,ST-384,573,573. 구의문주차장 앞,10,37.545231,127.084732
322,광진구,ST-980,593,593.자양중앙나들목,5,37.528587,127.077873
323,광진구,ST-1193,3508,3508. 화양사거리,10,37.548222,127.067879
324,광진구,ST-1429,3523,3523. 건국대학교 과학관(이과대) 앞,10,37.541718,127.08017
325,광진구,ST-381,555,555. 구의3동주민센터,10,37.537849,127.092171
326,광진구,ST-102,505,505. 자양사거리 광진아크로텔 앞,10,37.53701,127.082245
327,광진구,ST-257,546,546. 잠실대교북단 교차로,8,37.532478,127.085091
328,광진구,ST-378,552,552. 대림아크로리버 앞,10,37.536579,127.092972
329,광진구,ST-254,542,542. 강변역 4번출구 뒤,19,37.535465,127.094482
330,광진구,ST-1603,3529,3529. 어린이대공원정문,15,37.549789,127.075928
331,광진구,ST-972,590,590. 건국대학교 (입학정보관),10,37.53989,127.073364
332,광진구,ST-97,500,500. 어린이대공원역 3번출구 앞,10,37.54707,127.074272
333,광진구,ST-1663,3536,3536. 중앙농협(자양동),10,37.531811,127.080742
334,광진구,ST-1660,3533,3533. 건대입구역 사거리(롯데백화점),10,37.539139,127.070618
335,광진구,ST-99,502,502. 뚝섬유원지역 1번출구 앞,27,37.53186,127.067192
336,광진구,ST-986,3503,3503. 광진유진스웰,20,37.550488,127.108955
337,광진구,ST-113,515,515. 광양중학교 앞,10,37.530235,127.08683
338,광진구,ST-386,575,575. 중앙농협 중곡지점,10,37.564293,127.086937
339,광진구,ST-983,3500,3500. 군자역2번출구,10,37.557587,127.079697
340,광진구,ST-383,572,572. 국립정신 건강센터 앞,20,37.56538,127.08651
341,광진구,ST-259,549,549. 아차산역 3번출구,10,37.551224,127.089706
342,광진구,ST-98,501,501. 광진구의회 앞,15,37.537308,127.070351
343,광진구,ST-1192,3507,3507. 어린이회관,25,37.545952,127.078003
344,광진구,ST-1428,3524,3524. 세종대학교,15,37.550236,127.073822
345,광진구,ST-256,544,544. 광남중학교,20,37.54073,127.102905
346,광진구,ST-445,584,584. 광진광장 교통섬,20,37.547829,127.072632
347,광진구,ST-377,551,551. 구의삼성쉐르빌 앞,10,37.540062,127.094498
348,광진구,ST-253,540,540. 군자역 7번출구 베스트샵 앞,8,37.55603,127.078644
349,광진구,ST-974,592,592. 건국대학교 학생회관,15,37.541912,127.077637
350,광진구,ST-1602,3528,3528. 광진정보도서관,8,37.550598,127.110512
351,광진구,ST-101,504,504. 신자초교입구교차로,5,37.53297,127.075935
352,광진구,ST-1662,3535,3535. 중곡사거리(국민은행),10,37.559158,127.087517
353,광진구,ST-1379,3521,3521. 현대홈타운 뒷길,10,37.543427,127.096619
354,광진구,ST-114,516,516. 광진메디칼 앞,10,37.548405,127.069366
355,광진구,ST-100,503,503. 더샵스타시티 C동 앞,15,37.536667,127.073593
356,광진구,ST-1271,3516,3516. 구의아리수정수센터앞,10,37.543705,127.093246
357,광진구,ST-988,3505,3505. 신양초교앞 교차로,12,37.535221,127.068398
358,광진구,ST-388,577,577. 광진청소년수련관,10,37.546547,127.106133
359,광진구,ST-985,3502,3502. 중곡역 1번출구,15,37.565659,127.084297
360,광진구,ST-385,574,574. 아차산역4번출구,20,37.551849,127.088982
361,광진구,ST-1194,3509,3509. 세종사이버대학교,20,37.553417,127.073196
362,광진구,ST-382,571,571. 어린이대공원역6번출구,20,37.548496,127.07476
363,광진구,ST-258,548,548. 자양나들목,20,37.52977,127.07486
364,광진구,ST-1266,3517,3517. 용마사거리,10,37.562527,127.082275
365,광진구,ST-1191,3506,3506. 영동대교 북단,10,37.537014,127.061096
366,광진구,ST-1427,3510,3510. 중곡SK아파트앞,10,37.568649,127.08625
367,광진구,ST-379,553,553. 중곡 성원APT 앞,10,37.571255,127.079803
368,광진구,ST-255,543,543. 구의공원(테크노마트 앞),20,37.535969,127.094673
369,광진구,ST-252,539,539. 군자교교차로,10,37.559795,127.074203
370,광진구,ST-973,591,591. 건국대학교 (행정관),5,37.542778,127.075371
371,광진구,ST-1664,3537,3537. 아차산 휴먼시아 아파트 옆,15,37.548489,127.093758
372,구로구,ST-669,1912,1912. 한신휴아파트 앞,10,37.4888,126.890663
373,구로구,ST-1243,1981,1981. 천왕이펜하우스5단지 앞,10,37.479431,126.842697
374,구로구,ST-666,1908,1908. 해원리바파크 육교 밑,10,37.495285,126.872162
375,구로구,ST-1239,1977,1977. 천왕역 1번 출입구 앞,15,37.48621,126.838821
376,구로구,ST-1274,1984,1984. 구로구청,10,37.495266,126.888474
377,구로구,ST-663,1904,1904. 도림천역 1번 출구 앞,10,37.51424,126.882874
378,구로구,ST-1236,1974,1974. 신도림2차e편한세상아파트 203동 앞,10,37.50518,126.882538
379,구로구,ST-1231,1969,1969. 궁동생태공원,10,37.501904,126.828964
380,구로구,ST-1229,1967,1967. 참새공원(백곡경노당),10,37.505138,126.844337
381,구로구,ST-1226,1964,1964. 원메디타운 앞,10,37.49789,126.864502
382,구로구,ST-1222,1960,1960. 화광신문사 앞,10,37.50285,126.889481
383,구로구,ST-876,1953,1953. 천왕역 4번출구 뒤,20,37.486385,126.839211
384,구로구,ST-677,1930,1930. 개봉지구대 개봉치안센터,7,37.497684,126.853729
385,구로구,ST-1526,1991,1991. 오류동역 맞은편,10,37.496761,126.844963
386,구로구,ST-873,1946,1946. 구로역 광장,10,37.503117,126.880386
387,구로구,ST-674,1924,1924. 삼부르네상스파크빌,10,37.478741,126.895096
388,구로구,ST-1521,1986,1986. 태평양물산빌딩,15,37.484859,126.895187
389,구로구,ST-670,1913,1913. 구로리공원,10,37.491032,126.892151
390,구로구,ST-668,1911,1911. 구로디지털단지역 앞,10,37.48494,126.901321
391,구로구,ST-1241,1979,1979. 구로1동우체국 앞,10,37.492031,126.873772
392,구로구,ST-665,1907,1907. 구일우성(아) 육교 밑,12,37.489632,126.876259
393,구로구,ST-1238,1976,1976. 남구로역 5번 출입구 앞,10,37.48568,126.886703
394,구로구,ST-1273,1983,1983. 구로동롯데아파트,10,37.502548,126.883881
395,구로구,ST-662,1901,1901. 신도림동주민센터 앞,10,37.507332,126.87973
396,구로구,ST-1235,1973,1973. 오리로와 서해안도로 교차로 앞,10,37.488598,126.836494
397,구로구,ST-1230,1968,1968. 동인오피스텔 건너편 소공원,12,37.498482,126.847504
398,구로구,ST-919,1925,1925. 동양미래대학교 정문 옆,20,37.499889,126.867699
399,구로구,ST-1228,1966,1966. 한마을아파트 정문상가,10,37.496498,126.863098
400,구로구,ST-1224,1962,1962. 가리봉동주민센터,15,37.481602,126.892799
401,구로구,ST-1221,1959,1959. 구로구의회 앞,10,37.496456,126.889587
402,구로구,ST-1219,1957,1957. 구일고등학교 정문 ,15,37.493401,126.874329
403,구로구,ST-679,1937,1937. 한진아파트 입구,15,37.486061,126.852013
404,구로구,ST-1529,1994,1994. 삼성전자 물류센터 앞,10,37.496998,126.87178
405,구로구,ST-875,1952,1952. 천왕연지타운2단지 앞,15,37.482105,126.845726
406,구로구,ST-676,1929,1929. 고척근린공원 고척도서관 앞,10,37.505135,126.85276
407,구로구,ST-1523,1988,1988. 고척LIGA아파트 앞,20,37.50605,126.860786
408,구로구,ST-872,1943,1943. 온수역 북측,10,37.49279,126.824524
409,구로구,ST-673,1920,1920. 서울미래초등학교 사거리,10,37.504379,126.888298
410,구로구,ST-667,1910,1910. 낙원교회 맞은편,5,37.497505,126.884377
411,구로구,ST-1275,1985,1985. 구로도서관,20,37.498516,126.891991
412,구로구,ST-664,1906,1906. 신도림역 1번 출구 앞,20,37.50972,126.890099
413,구로구,ST-1237,1975,1975. 대림역 1번 출입구 밑,10,37.49258,126.894737
414,구로구,ST-1233,1971,1971. 오정초교 앞 보도육교,10,37.490723,126.826393
415,구로구,ST-920,1931,1931. 개봉역(북측광장),10,37.494995,126.858253
416,구로구,ST-918,1914,1914. 대림역4번출구,10,37.494591,126.893921
417,구로구,ST-1227,1965,1965. 삼환로즈빌아파트 105동 옆,15,37.497231,126.859192
418,구로구,ST-1223,1961,1961. 신도림테크노근린공원,15,37.508194,126.891304
419,구로구,ST-1220,1958,1958. 강서수도사업소민원센터,10,37.495781,126.890121
420,구로구,ST-1218,1956,1956. 도야미리숯불갈비 앞,10,37.51001,126.88205
421,구로구,ST-678,1933,1933. 개봉푸르지오아파트 상가,10,37.501583,126.84687
422,구로구,ST-1528,1993,1993. 금강수목원아파트 앞,10,37.48938,126.834198
423,구로구,ST-874,1951,1951. 천왕이펜하우스 4단지 상가 앞,20,37.480289,126.8395
424,구로구,ST-675,1928,1928. 고척스카이돔구장 광장,10,37.49947,126.868401
425,구로구,ST-936,1955,1955. 디지털입구 교차로,10,37.482883,126.901039
426,구로구,ST-1522,1987,1987. 개봉아이파크아파트 앞,15,37.490341,126.860931
427,구로구,ST-870,1936,1936. 개봉역 1번 출구 자전거보관서쪽,10,37.494282,126.859215
428,구로구,ST-671,1916,1916. 구로중학교앞,10,37.494141,126.889984
429,금천구,ST-636,1829,1829. 홈플러스 금천점 앞,10,37.469139,126.897202
430,금천구,ST-1141,1840,1840. 솔브레인이엔지 뒤편,20,37.475101,126.888069
431,금천구,ST-1277,1850,1850. 코오롱테크노밸리,10,37.48016,126.886368
432,금천구,ST-632,1824,1824. 독산근린공원 입구,15,37.46455,126.883728
433,금천구,ST-626,1816,1816. 금천폭포공원 앞,20,37.446861,126.903831
434,금천구,ST-660,1827,1827. 독산보도육교 앞 자전거 보관소,20,37.455849,126.893143
435,금천구,ST-623,1809,1809. LG전자 별관동(호서대 벤처타워 맞은편),10,37.470779,126.885155
436,금천구,ST-620,1805,1805. 서울디지털운동장 앞,10,37.482288,126.877769
437,금천구,ST-1536,1855,1855. 성지아파트 옆 도로변,10,37.451321,126.897621
438,금천구,ST-640,1834,1834. 월드메르디앙 벤처센터 2차,15,37.479084,126.879044
439,금천구,ST-1147,1846,1846. 롯데캐슬골드파크1차 동문,15,37.460171,126.896042
440,금천구,ST-638,1831,1831. 메이퀸웨딩컨벤션 앞,10,37.4725,126.897957
441,금천구,ST-1143,1842,1842. 한울중학교,15,37.462574,126.90686
442,금천구,ST-634,1826,1826. 한신코아 앞,20,37.456841,126.888344
443,금천구,ST-1140,1839,1839. 수출의 다리 아래,20,37.477058,126.885185
444,금천구,ST-1276,1849,1849. 대륭포스트타워5차,10,37.481354,126.88694
445,금천구,ST-631,1823,1823. 상신정비공업 앞,20,37.458912,126.89859
446,금천구,ST-629,1821,1821. 홈플러스 시흥점 맞은편 다비치안경 앞,10,37.451458,126.902115
447,금천구,ST-625,1814,1814. 두산위브아파트 옆 상가건물 앞,8,37.47422,126.894127
448,금천구,ST-622,1808,1808. 에이스하이엔드타워8차 앞,20,37.473209,126.884941
449,금천구,ST-1538,1857,1857. 주공14단지,15,37.46056,126.887093
450,금천구,ST-1535,1854,1854. 가산아네스트 오피스텔 앞,10,37.47818,126.897408
451,금천구,ST-642,1819,1819. 금천구청 앞 자전거거치대,10,37.456478,126.895927
452,금천구,ST-1149,1848,1848. 벽산 디지털밸리 5차,10,37.476276,126.885391
453,금천구,ST-1146,1845,1845. 롯데캐슬골드파크1차 서문,15,37.460289,126.892189
454,금천구,ST-637,1830,1830. 빅마켓 금천점 앞,15,37.47023,126.895073
455,금천구,ST-1142,1841,1841. 가산동 주민센터,10,37.476952,126.891869
456,금천구,ST-633,1825,1825. 한신아파트 앞 육교 아래,10,37.4547,126.891052
457,금천구,ST-630,1822,1822. 서울 시흥동우체국 앞,10,37.452991,126.900909
458,금천구,ST-628,1820,1820. 신한은행 시흥대로금융센터지점,10,37.44334,126.903358
459,금천구,ST-661,1836,1836. 금천구립 독산도서관,7,37.467403,126.908142
460,금천구,ST-1403,1851,1851. 가산디지털단지 7번출구,10,37.481232,126.881485
461,금천구,ST-624,1812,1812. 갑을그레이트밸리 앞,10,37.479031,126.887299
462,금천구,ST-1648,1858,1858. 석수역1번출구 앞 (SK주유소),10,37.437271,126.902687
463,금천구,ST-621,1806,1806. 에이스하이엔드타워9차 앞,10,37.486214,126.878639
464,금천구,ST-619,1804,1804. 독산역 2번출구 자전거주차장,10,37.46653,126.888718
465,금천구,ST-1537,1856,1856. 모두의학교,10,37.478409,126.907372
466,금천구,ST-1534,1853,1853. 서울디자인직업전문학교 앞,10,37.472481,126.895866
467,금천구,ST-641,1835,1835. STX V타워,10,37.47707,126.88443
468,금천구,ST-1148,1847,1847. 독산주공 14단지 버스정류소,10,37.461033,126.8871
469,금천구,ST-639,1833,1833. 독산역 1번출구 앞 자전거보관소,10,37.466541,126.890282
470,금천구,ST-1144,1843,1843. 독산고등학교,10,37.477097,126.911133
471,노원구,ST-868,1628,1628. 노일초등학교 앞,10,37.673618,127.055252
472,노원구,ST-604,1611,1611. 과기대 입구(우),20,37.62994,127.076553
473,노원구,ST-964,1642,1642. 서울여대 남문,7,37.625435,127.088493
474,노원구,ST-601,1603,1603. 롯데캐슬 102동 코너(월계주유소건너),10,37.624859,127.05014
475,노원구,ST-1476,1686,1686. 온수골사거리(스타벅스앞),10,37.66114,127.058052
476,노원구,ST-1128,1660,1660. 서울시립과학관,8,37.642071,127.076622
477,노원구,ST-1473,1683,1683. 노원문화예술회관,10,37.650459,127.080887
478,노원구,ST-1124,1656,1656. 중앙하이츠 아파트 입구,10,37.654999,127.067436
479,노원구,ST-1396,1680,1680. 삼육대 제3과학관,10,37.642654,127.108383
480,노원구,ST-913,1602,1602. 광운대역 앞,15,37.622662,127.061897
481,노원구,ST-1121,1653,1653. 노원역1번출구,10,37.6562,127.063622
482,노원구,ST-1426,1682,1682. 중계종합사회복지관 교차로,13,37.656799,127.077606
483,노원구,ST-1119,1651,1651. 맥도날드 상계점 앞,20,37.672375,127.055992
484,노원구,ST-1640,1689,1689. 마들역 3번출구,10,37.665249,127.057892
485,노원구,ST-1111,1643,1643. 태릉입구역 8번출구,10,37.617367,127.075211
486,노원구,ST-1287,1670,1670. 노원경찰서교차로,15,37.64341,127.071838
487,노원구,ST-611,1637,1637. KT 노원점 건물 앞,15,37.654701,127.0634
488,노원구,ST-1348,1675,1675. 월계문화체육센터,14,37.626942,127.05513
489,노원구,ST-1284,1667,1667. 중계중학교,10,37.654499,127.074387
490,노원구,ST-609,1635,1635. 상계3.4동 주민센터 대여소,11,37.67271,127.08316
491,노원구,ST-1281,1664,1664. 노해근린공원내,10,37.649361,127.070442
492,노원구,ST-606,1617,1617. 하계동 중평어린이공원 앞,20,37.63715,127.063271
493,노원구,ST-1279,1662,1662. 노원역7번출구,15,37.654114,127.059151
494,노원구,ST-867,1620,1620. 중계동 노원구민체육센터 옆(중1-2),10,37.648209,127.070221
495,노원구,ST-736,1619,1619. 중계동 하나프라자빌딩 앞(중1-1),10,37.649021,127.076408
496,노원구,ST-603,1610,1610. 화랑대역 2번출구 앞,20,37.620369,127.083641
497,노원구,ST-600,1601,1601. 석계역 문화광장 내 자전거 보관소,20,37.615299,127.064468
498,노원구,ST-1475,1685,1685. 불암고등학교 앞 횡단보도,8,37.64819,127.080482
499,노원구,ST-1127,1659,1659. 중계동 을지중학교,10,37.65033,127.071602
500,노원구,ST-915,1627,1627. 수락산역 4번출구,14,37.676941,127.055099
501,노원구,ST-1123,1655,1655. 공릉1단지아파트,15,37.631111,127.07016
502,노원구,ST-1395,1679,1679. 삼육대 도서관,15,37.64283,127.106667
503,노원구,ST-1120,1652,1652. 파르코 앞,10,37.68,127.05558
504,노원구,ST-1425,1681,1681. 현대6차 아파트,12,37.645802,127.08226
505,노원구,ST-1291,1674,1674. 서울북부고용센터앞,15,37.653549,127.058083
506,노원구,ST-1642,1691,1691. 노원정보도서관,10,37.660709,127.065331
507,노원구,ST-1118,1650,1650. 중계근린공원내,20,37.63958,127.065102
508,노원구,ST-1289,1672,1672. 상계동수락리버시티,15,37.688599,127.053406
509,노원구,ST-1639,1688,1688. 마들역 7번출구,9,37.665661,127.057297
510,노원구,ST-1286,1669,1669. 중계역 3번출구,9,37.643528,127.065224
511,노원구,ST-610,1636,1636. 백병원 사거리 농협은행 앞,10,37.649212,127.061768
512,노원구,ST-971,1640,1640. 한내근린공원 북측,10,37.623863,127.068489
513,노원구,ST-1283,1666,1666. 노원소방서인근,10,37.655781,127.071777
514,노원구,ST-608,1634,1634. 당고개공원 대여소,15,37.669079,127.077591
515,노원구,ST-1280,1663,1663. 동해문화예술관앞,20,37.619381,127.057854
516,노원구,ST-869,1630,1630. 수연빌딩 앞,10,37.67625,127.055504
517,노원구,ST-605,1616,1616. 하계2동 공항버스정류장 옆,10,37.635109,127.068329
518,노원구,ST-1278,1661,1661. 당현천근린공원,10,37.649639,127.065605
519,노원구,ST-866,1605,1605. 헬스케어,10,37.631622,127.061615
520,노원구,ST-735,1608,1608. 공릉역 1번 출구 앞,10,37.626614,127.072754
521,노원구,ST-602,1606,1606. 태릉입구역 3번출구 ,10,37.619171,127.074928
522,노원구,ST-1474,1684,1684. 태릉입구역 5번출구,20,37.61832,127.07563
523,노원구,ST-1125,1657,1657. 노원구청 ,10,37.654049,127.057327
524,노원구,ST-914,1625,1625. 상계역(4번출구),20,37.66,127.072968
525,노원구,ST-1122,1654,1654. 당고개입구 오거리,15,37.663792,127.075447
526,노원구,ST-1394,1678,1678. 성서대학교 밀알관,15,37.648438,127.064445
527,노원구,ST-1290,1673,1673. 노원역?5번출구,10,37.653976,127.060974
528,노원구,ST-1641,1690,1690. 도봉운전면허시험장,10,37.65773,127.059311
529,노원구,ST-1114,1646,1646. 삼육대 입구,20,37.638489,127.107903
530,노원구,ST-1288,1671,1671. 인덕대학교,15,37.629349,127.054825
531,노원구,ST-612,1639,1639. 희성오피앙,10,37.680313,127.055069
532,노원구,ST-1349,1677,1677. 육군사관학교  앞,10,37.623165,127.0905
533,노원구,ST-1285,1668,1668. 중계역 6번출구,10,37.645508,127.063255
534,노원구,ST-970,1641,1641. 한내근린공원 남측,15,37.621555,127.069511
535,노원구,ST-1282,1665,1665. 양지근린공원앞,10,37.647335,127.076424
536,노원구,ST-607,1623,1623. 노원 구민회관,20,37.638649,127.066292
537,도봉구,ST-1137,1721,1721. 창동역 2번출구 ,12,37.653015,127.046997
538,도봉구,ST-1133,1717,1717. 시립창동운동장 입구,15,37.655708,127.050102
539,도봉구,ST-1130,1714,1714. 도봉문화정보도서관 삼거리,10,37.64463,127.044609
540,도봉구,ST-657,1703,1703. 도봉산광역환승센터앞 ,15,37.68972,127.045197
541,도봉구,ST-916,1706,1706. 기업은행 앞,10,37.665665,127.042671
542,도봉구,ST-1296,1726,1726. 삼익세라믹아파트교차로,8,37.658588,127.03521
543,도봉구,ST-1467,1735,"1735. 도봉역 1,2번 출구사이 건너편",13,37.679119,127.044983
544,도봉구,ST-1292,1722,1722. 창동청소년수련관,15,37.657799,127.050049
545,도봉구,ST-1464,1732,1732. 우리은행 앞,10,37.667599,127.042999
546,도봉구,ST-617,1712,1712. 창동역공영주차장앞,15,37.654049,127.050201
547,도봉구,ST-614,1705,1705. 도봉구청 정문앞,8,37.669224,127.046516
548,도봉구,ST-1136,1720,1720. 도봉구청 옆(중랑천변),27,37.668671,127.047981
549,도봉구,ST-1132,1716,1716. 하나로마트 창동점,10,37.654202,127.050728
550,도봉구,ST-1469,1737,1737. 하나은행 (창동점),8,37.639702,127.038834
551,도봉구,ST-1295,1725,1725. 창1동주민센터,10,37.647503,127.043312
552,도봉구,ST-1466,1734,1734. 쌍문현대1차아파트 108동 앞,10,37.65815,127.032669
553,도봉구,ST-1462,1730,1730. 도봉산역 교차로 앞,10,37.687592,127.045502
554,도봉구,ST-616,1709,1709. 쌍문역4번출구 주변,15,37.650127,127.035347
555,도봉구,ST-613,1702,1702. 녹천역 1번출구 앞,10,37.646172,127.05056
556,도봉구,ST-1135,1719,1719. 신도봉사거리 버스정류장,10,37.673283,127.043991
557,도봉구,ST-1131,1715,1715. 서울특별시교육청도봉도서관,20,37.653179,127.012787
558,도봉구,ST-1129,1713,1713. 쌍문동 청소년 랜드,10,37.647266,127.025879
559,도봉구,ST-1434,1728,1728. 서울북부지방법원,15,37.677666,127.046242
560,도봉구,ST-658,1708,1708. 보건소사거리(다비치안경창동점),8,37.65683,127.039848
561,도봉구,ST-1297,1727,1727. 서울도봉초등학교인근,15,37.678677,127.040764
562,도봉구,ST-1468,1736,1736. 버스정류장 앞,12,37.652241,127.037064
563,도봉구,ST-1293,1723,1723. 방학동학마을도서관,10,37.662079,127.027718
564,도봉구,ST-1465,1733,1733. 방학사거리 (봄마당 앞),12,37.662979,127.041939
565,도봉구,ST-1461,1729,1729. 파리바게트앞,10,37.68401,127.045792
566,도봉구,ST-615,1707,1707. 도봉구민회관,15,37.654461,127.038513
567,도봉구,ST-1638,1741,1741. 제일강산수산입구,15,37.645199,127.032982
568,동대문구,ST-272,613,613. 신설동역 10번출구 앞,10,37.575272,127.023468
569,동대문구,ST-1449,654,654. 전농동 텃골공원,10,37.577621,127.052109
570,동대문구,ST-1629,657,657. 동대문롯데캐슬아파트 앞,13,37.57576,127.04837
571,동대문구,ST-395,627,627. 장안동삼거리 교통섬,10,37.578632,127.071907
572,동대문구,ST-392,624,624. 전농동 동아아파트 앞,10,37.574188,127.045891
573,동대문구,ST-266,606,606. 휘경공고앞,6,37.584625,127.07029
574,동대문구,ST-1300,648,648. 장안동위더스빌옆,15,37.5667,127.062424
